release_date,name,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,explicit
01/01/2021,Fuck the Year,162096,0.182,0.874,9,-5.011,0.103,0.411,0.882,0.396,0.12,130.036,1
08/04/2021,Finale III (Part Of),664905,0.245,0.0739,0,-23.995,0.0458,0.937,4.51E-05,0.168,0.101,75.373,0
01/01/2021,Incredible New Years Resolutions,129010,0.805,0.012,10,-20.928,0.0867,0.991,0.921,0.0899,0.104,100.612,0
01/01/2021,Friendly Jazz Piano Solo - Vibe for New Years Resolutions,108019,0.783,0.0215,0,-19.725,0.086,0.987,0.883,0.0656,0.141,79.981,0
13/01/2021,Luck and Happiness,189352,0.0898,0.199,7,-15.802,0.0407,0.974,0.938,0.237,0.073,79.823,0
13/01/2021,Local Spirits,192500,0.24,0.216,6,-9.726,0.0507,0.64,0.772,0.134,0.262,69.802,0
16/01/2021,Dog Dance,167099,0.742,0.664,2,-14.736,0.0624,0.639,0.809,0.102,0.967,159.985,0
16/01/2021,Fantasy,215805,0.467,0.317,11,-19.263,0.0712,0.709,0.897,0.107,0.373,180.046,0
16/01/2021,Pink Lotus,295333,0.909,0.0834,7,-22.089,0.0874,0.638,0.874,0.11,0.33,89.974,0
16/01/2021,Song of Cheerfulness,133092,0.574,0.182,7,-16.197,0.082,0.809,0.941,0.156,0.33,80.483,0
16/01/2021,A World of Harmony,191519,0.621,0.315,9,-20.276,0.0304,0.154,0.852,0.266,0.408,120.027,0
16/01/2021,Traditional Dance,172750,0.857,0.34,2,-14.168,0.0427,0.67,0.0137,0.13,0.673,119.942,0
16/01/2021,Harvest Time,136608,0.767,0.431,8,-9.272,0.0383,0.636,0.143,0.109,0.315,119.997,0
16/01/2021,Chinese Folk Music,116167,0.655,0.414,6,-16.519,0.0392,0.593,0.911,0.108,0.396,179.999,0
20/01/2021,Once in China,218462,0.166,0.0518,7,-26.833,0.0387,0.927,0.898,0.0907,0.0369,77.57,0
01/01/2021,2021 Years,139783,0.744,0.635,0,-8.629,0.057,0.016,0,0.358,0.116,104.989,1
02/03/2021,Year 2021,104668,0.77,0.781,0,-10.694,0.219,0.162,2.55E-06,0.825,0.632,144.931,0
01/01/2021,YEAR 2021,287692,0.659,0.839,7,-7.505,0.0372,0.000337,0.126,0.107,0.0845,124.015,0
16/03/2021,Year 2021,147217,0.714,0.905,0,-6.461,0.0685,0.00845,0.133,0.686,0.384,74.998,0
15/02/2021,New Year 2021,144430,0.729,0.494,6,-17.337,0.0525,0.031,0.796,0.11,0.555,159.992,0
11/02/2021,New Year 2021,186274,0.818,0.402,0,-17.965,0.0837,0.784,0.398,0.0608,0.0388,130.009,0
15/01/2021,New year 2021,320016,0.806,0.674,3,-7.547,0.0499,0.0557,0.791,0.706,0.316,122.996,0
22/02/2021,The Year 2021,309510,0.758,0.332,1,-22.806,0.0785,0.0956,0.00045,0.102,0.628,122.996,0
20/01/2021,New Year (2021),42250,0.987,0.293,9,-11.453,0.199,0.00321,1.02E-05,0.128,0.502,119.974,0
01/01/2021,New Year 2021,106755,0.797,0.351,1,-13.363,0.46,0.025,0.668,0.113,0.31,156.093,0
09/02/2021,New Year 2021,305999,0.158,0.0995,10,-21.811,0.0338,0.933,0.936,0.113,0.0369,86.346,0
13/01/2021,2021 New Year,175122,0.646,0.382,6,-17.141,0.191,0.0821,0.893,0.0792,0.839,89.996,0
18/01/2021,2021 - Beautiful Year -,388063,0.672,0.27,9,-12.162,0.0334,0.45,0.892,0.1,0.425,120.008,0
21/01/2021,New Year 2021,174733,0.442,0.604,2,-11.696,0.449,0.0279,0,0.16,0.403,187.877,0
01/01/2021,New Years 2021,336000,0.471,0.4,9,-22.792,0.054,0.00226,0.941,0.0763,0.0393,160.064,0
31/01/2021,New Year 2021,92184,0.647,0.73,1,-4.857,0.0357,0.0025,0.909,0.138,0.647,120.036,0
31/03/2021,New Years (2021),234383,0.413,0.924,0,-5.178,0.112,0.0473,1.30E-05,0.186,0.407,179.856,0
02/03/2021,New Year 2021 - New Year's Remix,198295,0.556,0.189,9,-19.678,0.47,0.0982,0.611,0.0979,0.738,150.022,0
08/01/2021,New Year 2021 - New Year's Remix,198295,0.556,0.189,9,-19.678,0.47,0.0982,0.611,0.0979,0.738,150.022,0
02/01/2021,Happy New Year 2021,279787,0.727,0.97,7,-4.983,0.0426,0.0343,0.000532,0.439,0.753,139.989,0
01/03/2021,Happy New Year 2021,166192,0.865,0.942,7,-4.124,0.0891,0.309,2.59E-05,0.569,0.813,150.959,0
09/01/2021,Happy New Year 2021,102583,0.636,0.774,1,-8.219,0.218,0.179,0,0.812,0.608,80.027,1
31/03/2021,Lucky Year - 2021 Ver.,93000,0.758,0.563,7,-10.679,0.0252,0.382,0.000106,0.287,0.977,96.041,0
01/01/2021,Happy New Year 2021,188889,0.806,0.561,0,-9.545,0.0728,0.155,0,0.158,0.694,108.005,0
01/01/2021,A New Year 2021,301045,0.203,0.384,1,-12.447,0.0341,0.000642,0.86,0.165,0.0379,54.176,0
09/02/2021,New Year Chillout 2021,189116,0.314,0.434,7,-11.857,0.0412,0.257,0.878,0.0547,0.421,173.732,0
07/01/2021,Happy New Year 2021,189231,0.853,0.83,11,-3.021,0.0653,0.0668,0,0.124,0.368,103.926,0
12/01/2021,New Year 2021 (ROUGH),113684,0.791,0.476,11,-10.55,0.0718,0.187,0.416,0.218,0.885,95.07,0
09/02/2021,2021 Is My Year,190746,0.733,0.737,7,-6.939,0.152,0.00229,0,0.168,0.356,142.128,1
01/01/2021,Happy New Year 2021,247455,0.777,0.449,9,-11.684,0.036,0.747,0.00351,0.141,0.296,120.032,0
03/02/2021,Happy New Year 2021,425824,0.767,0.125,4,-21.456,0.0651,0.217,0.638,0.0642,0.039,120.018,0
26/02/2021,Another Year - 2021 Remaster,133338,0.296,0.893,2,-7.061,0.0828,0.00022,0.00454,0.0743,0.613,82.324,1
29/01/2021,Lunar New Year 2021,187573,0.692,0.772,2,-7.627,0.0534,0.224,0.000755,0.281,0.594,127.95,0
17/01/2021,Brand New Year 2021,199856,0.556,0.631,7,-6.679,0.0306,0.0026,0,0.38,0.365,134.024,0
05/02/2021,2021 New Year FREESTYLE,129143,0.789,0.281,7,-14.889,0.384,0.02,1.83E-05,0.0972,0.239,105.075,0
13/02/2021,Lunar New Year 2021,574125,0.609,0.357,6,-14.469,0.0273,0.818,0.649,0.108,0.329,111.973,0
01/01/2021,Happy New Year 2021,138126,0.264,0.263,2,-5.372,0.0365,0.802,0.156,0.0736,0.0639,69.202,0
18/02/2021,Happy New Year 2021,271743,0.624,0.917,10,-7.33,0.0383,5.70E-05,0.0304,0.11,0.549,143.943,0
09/03/2021,Happy New Year 2021,198545,0.605,0.229,0,-19.371,0.326,0.495,0.392,0.11,0.413,108.146,0
11/03/2021,A New Year 2021,301047,0.284,0.336,1,-13.871,0.0334,0.000384,0.73,0.121,0.0385,75.019,0
27/03/2021,New Years Jam 2021,168716,0.447,0.301,4,-8.423,0.0331,0.735,0.953,0.0783,0.504,119.778,0
16/01/2021,Happy New Year 2021,142519,0.623,0.384,0,-21.408,0.0369,0.812,0.898,0.107,0.272,129.968,0
07/01/2021,Happy New Year 2021,425824,0.767,0.125,4,-21.456,0.0651,0.217,0.638,0.0642,0.039,120.018,0
09/02/2021,Smooth New Year's Jazz 2021,152713,0.528,0.336,11,-17.58,0.0334,0.607,0.0336,0.219,0.656,80.046,0
01/01/2021,Happy New Year 2021 Padhvala,401821,0.533,0.974,11,-2.508,0.158,0.0884,0.00107,0.842,0.845,170.726,0
08/01/2021,"January 6th, 2021 (5 Years)",170707,0.716,0.545,1,-12.623,0.418,0.547,0,0.294,0.528,110.165,1
16/02/2021,Dreaming on the Year 2021,257220,0.799,0.706,4,-8.296,0.0732,0.00216,0.879,0.051,0.616,99.986,0
21/01/2021,Year of Wonder - Winter 2021,131250,0.577,0.453,5,-13.699,0.0362,0.138,0.829,0.088,0.961,127.985,1
01/03/2021,2021(New Year) - Instrumental Version,197340,0.653,0.404,6,-11.846,0.0654,0.044,0.911,0.11,0.32,89.982,0
18/01/2021,2021 - Year of the Ox -,353636,0.669,0.901,0,-5.358,0.0342,0.00132,0.922,0.11,0.617,131.978,0
01/01/2021,Happy New Year 2021 - Instrumental,190668,0.862,0.541,6,-7.846,0.263,0.0674,0.708,0.0852,0.802,141.089,0
02/01/2021,Weekendt-Mix HappyNew Year 2021,1133558,0.539,0.823,10,-7.071,0.221,0.111,0.000203,0.0357,0.636,113.857,0
01/01/2021,Afraid FREEVERSE (HAPPY NEW YEAR 2021!!!),354847,0.532,0.538,2,-9.643,0.305,0.48,0,0.139,0.373,112.091,1
13/01/2021,Piano Type Beat .Year. Instrumental 2021,162271,0.852,0.302,3,-10.062,0.0444,0.628,0.945,0.11,0.14,120.002,0
10/04/2021,2021 Is the Year for Me,78766,0.641,0.333,0,-14.375,0.258,0.226,0.0413,0.114,0.209,84.84,1
03/01/2021,Happy New Year 2 You 2021,284410,0.708,0.854,4,-4.112,0.0989,0.196,0,0.138,0.731,99.989,0
05/02/2021,Year 2021 (movie dialog) space optimist,202460,0.679,0.89,5,-5.4,0.169,0.028,0.00872,0.12,0.355,144.961,0
01/01/2021,Happy new years/welcome to 2021,235311,0.68,0.801,9,-10.487,0.0827,6.11E-05,0.901,0.117,0.0865,110.047,0
18/01/2021,A Sona Happy New Year 2021,230690,0.575,0.963,10,-2.216,0.0918,0.309,0,0.224,0.921,139.874,0
21/02/2021,Teenage Of The Year - 2021 Remaster,245460,0.579,0.964,1,-3.353,0.0514,0.000196,0,0.183,0.562,127.979,0
18/01/2021,2021 Happy New Year Year To Everybody In The UK,86089,0.696,0.58,1,-5.05,0.339,0.332,0,0.241,0.281,147.878,1
01/02/2021,Freestyle Session Pt. 17 (New Years 2021),69317,0.874,0.87,5,-7.066,0.207,0.834,0,0.472,0.962,92.715,1
18/02/2021,2021 Is The Year Of The Ox,143673,0.626,0.0598,5,-31.082,0.581,0.906,0.000628,0.152,0.317,97.837,1
03/02/2021,Radio Merry Christmas 2021 - Happy New Year,217696,0.785,0.259,6,-20.523,0.0866,0.287,0.754,0.111,0.46,120.007,0
18/02/2021,2021 Is The Year Of The Aux,52663,0.728,0.504,5,-19.505,0.804,0.951,0,0.183,0.148,112.799,1
08/01/2021,Radio Merry Christmas 2021 - Happy New Year,217696,0.785,0.259,6,-20.523,0.0866,0.287,0.754,0.111,0.46,120.007,0
23/03/2021,Shiny Wet Cow (for Lunar New Year 2021),210667,0.655,0.348,8,-13.978,0.0874,0.00602,0.806,0.0984,0.473,180.128,0
30/03/2021,Yearly - Chill Out Lounge Relaxation 2021 DJ Mixed,302920,0.544,0.584,1,-9.676,0.0515,0.00548,0.721,0.198,0.43,123.656,0
24/03/2021,Billions Light Years - Psychedelic Goa Trance 2021 DJ Mixed,293333,0.633,0.994,10,-3.757,0.0353,8.93E-06,0.899,0.187,0.585,144.021,0
09/03/2021,2021,115278,0.622,0.721,10,-11.577,0.273,0.0691,0.00923,0.15,0.408,75.946,0
